 VIETNAM         | VIETNAM         |   1992 | 5111731778
 INDIA           | VIETNAM         |   1992 | 5245330621
 INDONESIA       | VIETNAM         |   1992 | 5302638372
 INDIA           | INDIA           |   1992 | 5361243755
 JAPAN           | VIETNAM         |   1992 | 5401692555
 CHINA           | VIETNAM         |   1992 | 5412322026
 INDIA           | JAPAN           |   1992 | 5421959281
 JAPAN           | JAPAN           |   1992 | 5648034711
 INDONESIA       | JAPAN           |   1992 | 5663765610
 VIETNAM         | INDIA           |   1992 | 5698511401
 INDONESIA       | INDIA           |   1992 | 5770203218
 JAPAN           | INDIA           |   1992 | 5802749985
 VIETNAM         | JAPAN           |   1992 | 5863786349
 INDIA           | CHINA           |   1992 | 6066461811
 JAPAN           | CHINA           |   1992 | 6067100655
 CHINA           | JAPAN           |   1992 | 6157678893
 CHINA           | INDIA           |   1992 | 6189831351
 JAPAN           | INDONESIA       |   1992 | 6222565638
 INDIA           | INDONESIA       |   1992 | 6238807354
 INDONESIA       | CHINA           |   1992 | 6310709533
 VIETNAM         | CHINA           |   1992 | 6332844390
 VIETNAM         | INDONESIA       |   1992 | 6340181707
 CHINA           | CHINA           |   1992 | 6456431477
 CHINA           | INDONESIA       |   1992 | 6616078869
 INDONESIA       | INDONESIA       |   1992 | 6905698988
 INDIA           | VIETNAM         |   1993 | 5233871487
 JAPAN           | VIETNAM         |   1993 | 5406569653
 JAPAN           | JAPAN           |   1993 | 5430318583
 VIETNAM         | VIETNAM         |   1993 | 5554161183
 INDIA           | INDIA           |   1993 | 5571575799
 JAPAN           | INDIA           |   1993 | 5823343157
 INDONESIA       | VIETNAM         |   1993 | 5840287722
 VIETNAM         | JAPAN           |   1993 | 5874266867
 CHINA           | VIETNAM         |   1993 | 5885023228
 INDIA           | JAPAN           |   1993 | 5995208985
 JAPAN           | INDONESIA       |   1993 | 6053946313
 INDONESIA       | JAPAN           |   1993 | 6147605249
 INDONESIA       | INDIA           |   1993 | 6151664306
 VIETNAM         | INDIA           |   1993 | 6161174477
 CHINA           | JAPAN           |   1993 | 6195466884
 INDIA           | CHINA           |   1993 | 6209353792
 JAPAN           | CHINA           |   1993 | 6292293995
 INDIA           | INDONESIA       |   1993 | 6331058594
 VIETNAM         | CHINA           |   1993 | 6413579999
 CHINA           | INDIA           |   1993 | 6421694121
 CHINA           | CHINA           |   1993 | 6444513787
 VIETNAM         | INDONESIA       |   1993 | 6511639352
 CHINA           | INDONESIA       |   1993 | 6581513366
 INDONESIA       | CHINA           |   1993 | 6612891249
 INDONESIA       | INDONESIA       |   1993 | 6931363262
 INDIA           | VIETNAM         |   1994 | 5251039815
 JAPAN           | VIETNAM         |   1994 | 5275821637
 INDIA           | JAPAN           |   1994 | 5394134974
 VIETNAM         | VIETNAM         |   1994 | 5418498159
 INDIA           | INDIA           |   1994 | 5584936515
 INDONESIA       | VIETNAM         |   1994 | 5624346368
 JAPAN           | INDIA           |   1994 | 5645818872
 JAPAN           | JAPAN           |   1994 | 5753821482
 VIETNAM         | INDIA           |   1994 | 5789398691
 INDIA           | CHINA           |   1994 | 5815022714
 CHINA           | VIETNAM         |   1994 | 5885318733
 JAPAN           | INDONESIA       |   1994 | 6013034618
 INDONESIA       | JAPAN           |   1994 | 6141195969
 INDIA           | INDONESIA       |   1994 | 6168189859
 INDONESIA       | INDIA           |   1994 | 6198412245
 VIETNAM         | JAPAN           |   1994 | 6231973047
 CHINA           | INDONESIA       |   1994 | 6234787896
 CHINA           | INDIA           |   1994 | 6297582811
 INDONESIA       | INDONESIA       |   1994 | 6315331086
 JAPAN           | CHINA           |   1994 | 6320009218
 VIETNAM         | INDONESIA       |   1994 | 6347441931
 CHINA           | JAPAN           |   1994 | 6349037021
 INDONESIA       | CHINA           |   1994 | 6483600910
 CHINA           | CHINA           |   1994 | 6648942965
 VIETNAM         | CHINA           |   1994 | 6709883442
 INDIA           | VIETNAM         |   1995 | 5207063284
 INDIA           | JAPAN           |   1995 | 5469203427
 CHINA           | VIETNAM         |   1995 | 5489936063
 JAPAN           | VIETNAM         |   1995 | 5501313775
 INDIA           | INDIA           |   1995 | 5565995550
